SEASON,TEAM_ID,GAME_ID,PLAYER_ID,PLAYER_NAME,lineup_id,LOC_X,LOC_Y,SHOT_MADE_FLAG,SHOT_DISTANCE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING
2024-25,1610612743,0022400033,1627750,Jamal Murray,203999-1627750-1629008-1631128-1631212,67.0,258.0,0,26.0,Above the Break 3,Center(C),24+ ft.,1,11,46
2024-25,1610612743,0022400033,203999,Nikola Jokić,203999-1627750-1629008-1631128-1631212,20.0,91.0,0,9.0,In The Paint (Non-RA),Center(C),8-16 ft.,1,11,10
2024-25,1610612743,0022400033,1631128,Christian Braun,203999-1627750-1629008-1631128-1631212,-9.0,10.0,1,1.0,Restricted Area,Center(C),Less Than 8 ft.,1,10,38
2024-25,1610612743,0022400033,1631128,Christian Braun,203999-1627750-1629008-1631128-1631212,-67.0,33.0,0,7.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,9,44
2024-25,1610612743,0022400033,1631128,Christian Braun,203999-1627750-1629008-1631128-1631212,87.0,243.0,1,25.0,Above the Break 3,Right Side Center(RC),24+ ft.,1,9,18
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,203999-1627750-1629008-1631128-1631212,28.0,249.0,0,25.0,Above the Break 3,Center(C),24+ ft.,1,8,14
2024-25,1610612743,0022400033,1631212,Peyton Watson,203999-1627750-1629008-1631128-1631212,0.0,65.0,0,6.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,7,52
2024-25,1610612743,0022400033,1627750,Jamal Murray,203999-1627750-1629008-1631128-1631212,-161.0,211.0,1,26.0,Above the Break 3,Left Side Center(LC),24+ ft.,1,7,31
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,203999-1627750-1629008-1631128-1631212,85.0,121.0,0,14.0,Mid-Range,Right Side(R),8-16 ft.,1,7,0
2024-25,1610612743,0022400033,1627750,Jamal Murray,203999-1627750-1629008-1631128-1631212,-20.0,37.0,0,4.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,6,36
2024-25,1610612743,0022400033,1631128,Christian Braun,203999-1627750-1629008-1631128-1631212,-1.0,20.0,1,2.0,Restricted Area,Center(C),Less Than 8 ft.,1,5,41
2024-25,1610612743,0022400033,203999,Nikola Jokić,203999-1627750-1631124-1631128-1631212,232.0,60.0,1,23.0,Right Corner 3,Right Side(R),24+ ft.,1,5,17
2024-25,1610612743,0022400033,1627750,Jamal Murray,203999-1627750-1631124-1631128-1631212,-165.0,210.0,0,26.0,Above the Break 3,Left Side Center(LC),24+ ft.,1,4,50
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1627750-1631124-1631212,70.0,67.0,0,9.0,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,4,27
2024-25,1610612743,0022400033,1627750,Jamal Murray,201566-203999-1627750-1631124-1631212,153.0,209.0,1,25.0,Above the Break 3,Right Side Center(RC),24+ ft.,1,4,11
2024-25,1610612743,0022400033,1631212,Peyton Watson,201566-203999-1627750-1631124-1631212,-22.0,28.0,1,3.0,Restricted Area,Center(C),Less Than 8 ft.,1,3,26
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1629008-1631124-1641725,7.0,53.0,1,5.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,2,9
2024-25,1610612743,0022400033,1631124,Julian Strawther,201566-203999-1629008-1631124-1641725,10.0,94.0,0,9.0,In The Paint (Non-RA),Center(C),8-16 ft.,1,1,10
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1629008-1631124-1641725,1.0,42.0,1,4.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,0,57
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1629008-1631124-1641725,-184.0,225.0,1,29.0,Above the Break 3,Left Side Center(LC),24+ ft.,1,0,31
2024-25,1610612743,0022400033,201566,Russell Westbrook,201566-203999-1627750-1631128-1631212,234.0,44.0,1,23.0,Right Corner 3,Right Side(R),24+ ft.,2,8,8
2024-25,1610612743,0022400033,1631128,Christian Braun,201566-203999-1627750-1631128-1631212,58.0,202.0,1,21.0,Mid-Range,Center(C),16-24 ft.,2,7,36
2024-25,1610612743,0022400033,1631212,Peyton Watson,201566-203999-1627750-1631128-1631212,-12.0,42.0,1,4.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,2,6,48
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1627750-1631128-1631212,4.0,28.0,0,2.0,Restricted Area,Center(C),Less Than 8 ft.,2,6,19
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1627750-1631128-1631212,-9.0,29.0,1,3.0,Restricted Area,Center(C),Less Than 8 ft.,2,6,13
2024-25,1610612743,0022400033,201566,Russell Westbrook,201566-203999-1627750-1631128-1631212,-175.0,194.0,0,26.0,Above the Break 3,Left Side Center(LC),24+ ft.,2,5,42
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1627750-1631128-1631212,-4.0,29.0,0,2.0,Restricted Area,Center(C),Less Than 8 ft.,2,4,57
2024-25,1610612743,0022400033,203999,Nikola Jokić,203999-1627750-1629008-1631128-1631212,-11.0,78.0,0,7.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,2,4,40
2024-25,1610612743,0022400033,1627750,Jamal Murray,203999-1627750-1629008-1631128-1631212,20.0,167.0,0,16.0,Mid-Range,Center(C),16-24 ft.,2,3,59
2024-25,1610612743,0022400033,203999,Nikola Jokić,203999-1627750-1629008-1631128-1631212,2.0,63.0,1,6.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,2,3,43
2024-25,1610612743,0022400033,1627750,Jamal Murray,203999-1627750-1629008-1631128-1631212,-225.0,59.0,0,23.0,Left Corner 3,Left Side(L),24+ ft.,2,2,45
2024-25,1610612743,0022400033,1631212,Peyton Watson,203999-1627750-1629008-1631128-1631212,-20.0,137.0,0,13.0,In The Paint (Non-RA),Center(C),8-16 ft.,2,2,41
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,203999-1627750-1629008-1631128-1631212,-112.0,228.0,1,25.0,Above the Break 3,Left Side Center(LC),24+ ft.,2,1,59
2024-25,1610612743,0022400033,1631128,Christian Braun,203999-1627750-1629008-1631128-1631212,-2.0,286.0,0,28.0,Above the Break 3,Center(C),24+ ft.,2,1,35
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,203999-1627750-1629008-1631128-1631212,-55.0,162.0,0,17.0,Mid-Range,Left Side Center(LC),16-24 ft.,2,1,6
2024-25,1610612743,0022400033,203999,Nikola Jokić,203999-1627750-1629008-1631128-1631212,-29.0,22.0,0,3.0,Restricted Area,Center(C),Less Than 8 ft.,2,1,3
2024-25,1610612743,0022400033,203999,Nikola Jokić,203999-1627750-1629008-1631128-1631212,-10.0,34.0,1,3.0,Restricted Area,Center(C),Less Than 8 ft.,2,0,43
2024-25,1610612743,0022400033,203999,Nikola Jokić,203999-1627750-1629008-1631128-1631212,-16.0,31.0,1,3.0,Restricted Area,Center(C),Less Than 8 ft.,2,0,32
2024-25,1610612743,0022400033,1627750,Jamal Murray,203999-1627750-1629008-1631128-1631212,158.0,582.0,0,60.0,Backcourt,Back Court(BC),Back Court Shot,2,0,0
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,203999-1627750-1629008-1631128-1631212,-33.0,176.0,0,17.0,Mid-Range,Center(C),16-24 ft.,3,11,28
2024-25,1610612743,0022400033,1631212,Peyton Watson,203999-1627750-1629008-1631128-1631212,-234.0,30.0,0,23.0,Left Corner 3,Left Side(L),24+ ft.,3,10,3
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,203999-1627750-1629008-1631128-1631212,9.0,37.0,1,3.0,Restricted Area,Center(C),Less Than 8 ft.,3,9,56
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,203999-1627750-1629008-1631128-1631212,-20.0,176.0,1,17.0,Mid-Range,Center(C),16-24 ft.,3,9,28
2024-25,1610612743,0022400033,1627750,Jamal Murray,203999-1627750-1629008-1631128-1631212,-81.0,248.0,1,26.0,Above the Break 3,Left Side Center(LC),24+ ft.,3,8,58
2024-25,1610612743,0022400033,1627750,Jamal Murray,203999-1627750-1629008-1631128-1631212,-18.0,67.0,0,6.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,8,27
2024-25,1610612743,0022400033,1627750,Jamal Murray,203999-1627750-1629008-1631128-1631212,181.0,187.0,0,26.0,Above the Break 3,Right Side Center(RC),24+ ft.,3,8,20
2024-25,1610612743,0022400033,1631128,Christian Braun,203999-1627750-1629008-1631128-1631212,0.0,0.0,0,0.0,Restricted Area,Center(C),Less Than 8 ft.,3,8,14
2024-25,1610612743,0022400033,203999,Nikola Jokić,203999-1627750-1629008-1631128-1631212,44.0,40.0,1,5.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,3,7,39
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,203999-1627750-1629008-1631128-1631212,1.0,20.0,1,2.0,Restricted Area,Center(C),Less Than 8 ft.,3,7,4
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,203999-1627750-1629008-1631128-1631212,-78.0,245.0,1,25.0,Above the Break 3,Center(C),24+ ft.,3,6,17
2024-25,1610612743,0022400033,1631212,Peyton Watson,203999-1627750-1629008-1631128-1631212,-4.0,30.0,1,3.0,Restricted Area,Center(C),Less Than 8 ft.,3,5,49
2024-25,1610612743,0022400033,1631128,Christian Braun,203999-1627750-1629008-1631128-1631212,6.0,21.0,1,2.0,Restricted Area,Center(C),Less Than 8 ft.,3,5,25
2024-25,1610612743,0022400033,1631212,Peyton Watson,203999-1627750-1629008-1631128-1631212,1.0,15.0,1,1.0,Restricted Area,Center(C),Less Than 8 ft.,3,4,58
2024-25,1610612743,0022400033,1631212,Peyton Watson,203999-1627750-1629008-1631128-1631212,225.0,59.0,0,23.0,Right Corner 3,Right Side(R),24+ ft.,3,4,19
2024-25,1610612743,0022400033,1631128,Christian Braun,203999-1627750-1629008-1631128-1631212,227.0,9.0,1,22.0,Right Corner 3,Right Side(R),24+ ft.,3,4,11
2024-25,1610612743,0022400033,203999,Nikola Jokić,203999-1627750-1629008-1631128-1631212,72.0,55.0,1,9.0,In The Paint (Non-RA),Right Side(R),8-16 ft.,3,3,29
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,203999-1627750-1629008-1631128-1631212,13.0,34.0,1,3.0,Restricted Area,Center(C),Less Than 8 ft.,3,2,58
2024-25,1610612743,0022400033,1641816,Hunter Tyson,201566-203999-1629008-1631124-1641816,37.0,8.0,0,3.0,Restricted Area,Center(C),Less Than 8 ft.,3,2,27
2024-25,1610612743,0022400033,201566,Russell Westbrook,201566-203999-1629008-1631124-1641816,-100.0,252.0,0,27.0,Above the Break 3,Left Side Center(LC),24+ ft.,3,1,51
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1629008-1631124-1641816,0.0,20.0,1,2.0,Restricted Area,Center(C),Less Than 8 ft.,3,1,47
2024-25,1610612743,0022400033,201566,Russell Westbrook,201566-203999-1631124-1631128-1631212,-6.0,11.0,1,1.0,Restricted Area,Center(C),Less Than 8 ft.,3,0,27
2024-25,1610612743,0022400033,201566,Russell Westbrook,201566-203999-1627750-1629008-1631212,-134.0,236.0,1,27.0,Above the Break 3,Left Side Center(LC),24+ ft.,4,6,52
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1627750-1629008-1631212,72.0,56.0,1,9.0,In The Paint (Non-RA),Right Side(R),8-16 ft.,4,6,9
2024-25,1610612743,0022400033,1631212,Peyton Watson,201566-203999-1627750-1629008-1631212,224.0,24.0,1,22.0,Right Corner 3,Right Side(R),24+ ft.,4,5,34
2024-25,1610612743,0022400033,201566,Russell Westbrook,201566-203999-1627750-1629008-1631212,-32.0,52.0,0,6.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,4,52
2024-25,1610612743,0022400033,1627750,Jamal Murray,201566-203999-1627750-1629008-1631212,98.0,261.0,0,27.0,Above the Break 3,Right Side Center(RC),24+ ft.,4,4,40
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,201566-203999-1627750-1629008-1631212,-38.0,46.0,1,5.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,4,34
2024-25,1610612743,0022400033,1627750,Jamal Murray,201566-203999-1627750-1629008-1631212,-78.0,257.0,0,26.0,Above the Break 3,Center(C),24+ ft.,4,3,35
2024-25,1610612743,0022400033,1631212,Peyton Watson,201566-203999-1627750-1629008-1631212,18.0,19.0,1,2.0,Restricted Area,Center(C),Less Than 8 ft.,4,3,5
2024-25,1610612743,0022400033,1629008,Michael Porter Jr.,201566-203999-1627750-1629008-1631212,34.0,168.0,0,17.0,Mid-Range,Center(C),16-24 ft.,4,2,13
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1627750-1629008-1631212,-6.0,57.0,0,5.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,52
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1627750-1629008-1631212,4.0,31.0,0,3.0,Restricted Area,Center(C),Less Than 8 ft.,4,1,49
2024-25,1610612743,0022400033,201566,Russell Westbrook,201566-203999-1627750-1629008-1631212,-29.0,41.0,0,5.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,21
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1627750-1629008-1631212,13.0,42.0,0,4.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,1,2
2024-25,1610612743,0022400033,203999,Nikola Jokić,201566-203999-1627750-1629008-1631212,-4.0,22.0,1,2.0,Restricted Area,Center(C),Less Than 8 ft.,4,0,41
2024-25,1610612743,0022400033,1627750,Jamal Murray,201566-203999-1627750-1631128-1631212,-40.0,272.0,1,27.0,Above the Break 3,Center(C),24+ ft.,4,0,10
2024-25,1610612743,0022400058,1629008,Michael Porter Jr.,203932-203999-1627750-1629008-1631128,53.0,22.0,1,5.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,11,24
2024-25,1610612743,0022400058,1627750,Jamal Murray,203932-203999-1627750-1629008-1631128,-7.0,19.0,1,2.0,Restricted Area,Center(C),Less Than 8 ft.,1,10,48
2024-25,1610612743,0022400058,1627750,Jamal Murray,203932-203999-1627750-1629008-1631128,12.0,15.0,0,1.0,Restricted Area,Center(C),Less Than 8 ft.,1,10,20
2024-25,1610612743,0022400058,1629008,Michael Porter Jr.,203932-203999-1627750-1629008-1631128,150.0,203.0,0,25.0,Above the Break 3,Right Side Center(RC),24+ ft.,1,9,50
2024-25,1610612743,0022400058,203932,Aaron Gordon,203932-203999-1627750-1629008-1631128,-224.0,45.0,1,22.0,Left Corner 3,Left Side(L),24+ ft.,1,9,26
2024-25,1610612743,0022400058,203999,Nikola Jokić,203932-203999-1627750-1629008-1631128,-5.0,108.0,1,10.0,In The Paint (Non-RA),Center(C),8-16 ft.,1,8,58
2024-25,1610612743,0022400058,203999,Nikola Jokić,203932-203999-1627750-1629008-1631128,-2.0,42.0,0,4.0,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,8,35
2024-25,1610612743,0022400058,1627750,Jamal Murray,203932-203999-1627750-1629008-1631128,-125.0,25.0,0,12.0,Mid-Range,Left Side(L),8-16 ft.,1,8,27
2024-25,1610612743,0022400058,203932,Aaron Gordon,203932-203999-1627750-1629008-1631128,225.0,34.0,1,22.0,Right Corner 3,Right Side(R),24+ ft.,1,8,1
2024-25,1610612743,0022400058,1627750,Jamal Murray,203932-203999-1627750-1629008-1631128,224.0,69.0,0,23.0,Right Corner 3,Right Side(R),24+ ft.,1,7,37
2024-25,1610612743,0022400058,203932,Aaron Gordon,203932-203999-1627750-1629008-1631128,-71.0,237.0,1,24.0,Above the Break 3,Center(C),24+ ft.,1,7,10
2024-25,1610612743,0022400058,203999,Nikola Jokić,201566-203932-203999-1629008-1631128,-23.0,161.0,0,16.0,Mid-Range,Center(C),16-24 ft.,1,6,8
2024-25,1610612743,0022400058,1629008,Michael Porter Jr.,201566-203932-203999-1629008-1631128,173.0,201.0,0,26.0,Above the Break 3,Right Side Center(RC),24+ ft.,1,5,34
2024-25,1610612743,0022400058,1629008,Michael Porter Jr.,201566-203932-203999-1629008-1631128,150.0,20.0,1,15.0,Mid-Range,Right Side(R),8-16 ft.,1,4,43
2024-25,1610612743,0022400058,1631212,Peyton Watson,201566-203999-1631124-1631128-1631212,-222.0,-2.0,1,22.0,Left Corner 3,Left Side(L),24+ ft.,1,3,14
2024-25,1610612743,0022400058,203999,Nikola Jokić,201566-203999-1627750-1631124-1631212,102.0,229.0,0,25.0,Above the Break 3,Right Side Center(RC),24+ ft.,1,2,44
2024-25,1610612743,0022400058,201566,Russell Westbrook,201566-203999-1627750-1631124-1631212,237.0,51.0,1,24.0,Right Corner 3,Right Side(R),24+ ft.,1,2,23
2024-25,1610612743,0022400058,201566,Russell Westbrook,201566-203999-1627750-1631124-1631212,5.0,-1.0,1,0.0,Restricted Area,Center(C),Less Than 8 ft.,1,1,44
2024-25,1610612743,0022400058,203999,Nikola Jokić,203932-203999-1627750-1629008-1631128,12.0,169.0,0,16.0,Mid-Range,Center(C),16-24 ft.,2,8,2
2024-25,1610612743,0022400058,1629008,Michael Porter Jr.,203932-203999-1627750-1629008-1631128,31.0,20.0,0,3.0,Restricted Area,Center(C),Less Than 8 ft.,2,7,48
2024-25,1610612743,0022400058,203999,Nikola Jokić,203932-203999-1627750-1629008-1631128,86.0,27.0,1,9.0,Mid-Range,Right Side(R),8-16 ft.,2,7,6
2024-25,1610612743,0022400058,1627750,Jamal Murray,203932-203999-1627750-1631124-1631128,-10.0,14.0,0,1.0,Restricted Area,Center(C),Less Than 8 ft.,2,6,3
2024-25,1610612743,0022400058,203999,Nikola Jokić,203932-203999-1627750-1631124-1631128,-2.0,8.0,1,0.0,Restricted Area,Center(C),Less Than 8 ft.,2,5,14
